Restaurant,Food Item,Serving Size,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Proteins,Vitamin A,Vitamin C,Calcium,Iron
Common Food,jimmy dean pancakes and sausage on a stick,1 pancake n sausage ( 71g ),230,108,12,3.5,0,25,480,22,1,9,6,0,0,1.8,7.7
Common Food,jimmy dean sausage,2 links ( 46g ),149.5,108,12.5,4.1,0.0552,39.6,374.4,0.7,0,0.5,8.52,4.3,0,0.4,3.9
Common Food,jimmy dean sausage biscuits,1 biscuit ( 93.26g ),323.3,153,17.5,5,0.0255,20.4,590.7,32.4,1.08,1.8,8.98,7.9,0.2,15.6,16.7
Common Food,jimmy dean sausage patties turkey,2 patties ( 68g ),130,72,8,2.5,0,55,490,2,0,0.5,13,0,0,1.8,7.7
Common Food,jimmy dean turkey sausage,1 patty ( 35g ),71.4,27,3.6,1,,20.3,252.3,3.8,0.11,0,5.95,0.3,0,1,4.5
Common Food,jimmy dean turkey sausage links fully cooked,3 links ( 68g ),130,72,8,2.5,0,55,490,2,0,0.5,13,0,0,1.8,7.7
Common Food,jimmy johns bbq jimmy chips,0.5 bag ( 28g ),150,72,8,1.5,0,0,110,17,1,3,2,,,,
Common Food,jimmy johns jimmy chips,18 chips ( 28g ),150,72,8,1.5,0,0,110,17,1,3,2,10,15,0,2.6
Common Food,jimmy johns number 1 pepe sub sandwich,1 sandwich ( 316.7g ),630,270,30,9,0,65,1590,59,6,3,30,,,,
Common Food,jimmy johns number 4 turkey tom sub sandwich,1 sandwich ( 289.7g ),510,180,20,3,0,40,1240,57,6,2,25,,,,
Common Food,jimmy johns number 4 turkey tom sub unwich,1 sandwich ( 141g ),230,162,18,3,0,40,680,4,1,2,14,,,,
Common Food,jimmy johns number 5 vito sub sandwich,1 sandwich ( 318.2g ),620,243,27,10,0,85,1870,60,6,5,33,,,,
Common Food,jimmy johns number 9 italian night club sandwich,1 sandwich ( 419.9g ),950,414,46,14,0,125,2890,82,7,6,48,,,,
Common Food,jimmy johns turkey tom,1 sandwich ( 289.7g ),510,180,20,3,0,40,1240,57,6,2,25,,,,
Common Food,john soules foods chicken fajitas,3 oz ( 85g ),110,9,1,0,0,50,540,2,0,0,21,0,2,1.8,5.1
Common Food,johnnie walker,1 shot ( 42g ),105,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.1
Common Food,johnsonville brats,1 grilled link ( 85g ),260,198,22,8,0,55,610,2,,0,13,,,1.8,2.6
Common Food,johnsonville brats original bratwurst,1 grilled link ( 82g ),260,189,21,8,0,60,680,2,0,1,14,0,0,0,5.1
Common Food,johnsonville breakfast sausage turkey,2 patties ( 68g ),110,54,6,1.5,,55,420,3,,1,12,,,,5.1
Common Food,jolly rancher,1 piece ( 6g ),23.6,0,0,0,,0,2.3,5.9,0,3.77,0,0,0,0,0.1
Common Food,jolly time 100 calorie healthy pop kettle corn,2 tbsp unpopped ( 34g ),110,18,2,0.5,0,0,320,23,5,0,4,10,0,0,5.1
Common Food,jose cuervo,1 shot ( 42g ),97,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.1
Common Food,josephs flax oat bran and whole wheat pita bread,1 pita ( 37g ),60,18,2,0,0,0,280,9,4,0,6,0,0,13.6,7.7
Common Food,juanitas tortilla chips,13 tortillas ( 28.35g ),160,90,10,1,0,0,140,16,2,0,2,0,0,0,2.6
Common Food,juice,8 fl oz ( 237g ),128,0,0,0,0,0,144.6,31.2,0.24,28.7,0.31,4,100.3,0.6,4.2
Common Food,juiced lime,"1 lime, juiced (2 tbsp) ( 30.25g )",7.6,0,0,0,0,0,0.6,2.5,0.12,0.51,0.13,1.5,15.1,0.4,0.2
Common Food,junior mints,16 pieces ( 40g ),168,54,6.3,3.8,,0.2,8.7,29.8,1.39,24.12,1.18,0.2,0,0.7,5
Common Food,justins classic almond butter,1 pack ( 32g ),190,162,18,2.5,0,0,0,6,3,1,7,0,0,7.3,7.7
Common Food,k cup,1 cup (8 fl oz) ( 237g ),2.4,0,0.1,0,0,0,4.7,0,0,0,0.28,0,0,0.4,0.2
Common Food,kabab,1 kabob ( 80.83g ),182.3,117,13.7,3.5,0,41.7,106.6,2,0.5,0.76,12.56,8.1,23.6,1.8,7.7
Common Food,kahlua,1 fl oz ( 34.8g ),107.2,0,0.1,0,0,0,2.8,11.2,0,11.21,0.03,0,0,0,0.1
Common Food,kaiser roll,1 sandwich roll ( 52g ),144,18,2.2,0.5,,0,298.5,26.1,1.66,0.16,4.47,0,0,4.3,10.1
Common Food,kalamata olives,"1 olive, pitted ( 2.88g )",6.2,0,0.6,0.1,0,0,18.4,0.2,0.08,0,0.02,1,0,0.2,0.6
Common Food,kale,"1 cup, chopped ( 130g )",36.4,0,0.5,0.1,0,0,29.9,7.3,2.6,1.63,2.47,1770.7,88.8,8.5,8.4
Common Food,kale chips,1 serving ( 19.93g ),28.1,18,2.4,0.3,,0,399.4,1.5,0.6,0.38,0.71,166.5,33.3,2.3,1.9
Common Food,kale salad,3 cups ( 112.5g ),251.1,189,21.8,2.8,0.001,0,174.8,11.6,2.6,6.32,3.66,479.1,99,9.1,9.3
